🔄 GitHub GraphQL processing started: 0/1030 repositories (progress every 100)
🔄 GitHub GraphQL processing: 0/1030 repositories processed
🔄 GitHub GraphQL progress: 100/1030 (total_cost=99 avg_cost=1.00 remaining=4670 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 200/1030 (total_cost=198 avg_cost=1.00 remaining=4562 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 300/1030 (total_cost=296 avg_cost=1.00 remaining=4452 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 400/1030 (total_cost=396 avg_cost=1.00 remaining=4360 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 500/1030 (total_cost=496 avg_cost=1.00 remaining=4257 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 600/1030 (total_cost=595 avg_cost=1.00 remaining=4161 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 700/1030 (total_cost=695 avg_cost=1.00 remaining=4058 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 800/1030 (total_cost=793 avg_cost=1.00 remaining=3963 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 900/1030 (total_cost=893 avg_cost=1.00 remaining=3860 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1000/1030 (total_cost=991 avg_cost=1.00 remaining=3761 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
✅ GitHub GraphQL processing completed: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
STATUS      PURL                                                                RELATION  LIFECYCLE
✅ ok        pkg:npm/mkdirp@0.5.6                                                direct    Legacy-Safe
✅ ok        pkg:npm/iconv-lite@0.6.3                                            direct    Active
✅ ok        pkg:npm/pify@3.0.0                                                  direct    Legacy-Safe
✅ ok        pkg:npm/ansi-styles@4.3.0                                           direct    Active
⚠️ caution  pkg:npm/fill-range@7.0.1                                            direct    Stalled
✅ ok        pkg:npm/chalk@4.1.2                                                 direct    Active
✅ ok        pkg:npm/is-number@7.0.0                                             direct    Legacy-Safe
✅ ok        pkg:npm/semver@6.3.0                                                direct    Active
✅ ok        pkg:npm/color-name@1.1.4                                            direct    Active
✅ ok        pkg:npm/acorn-walk@8.2.0                                            direct    Active
✅ ok        pkg:npm/color-convert@2.0.1                                         direct    Active
⚠️ caution  pkg:npm/braces@3.0.2                                                direct    Stalled
⚠️ caution  pkg:npm/to-regex-range@5.0.1                                        direct    Stalled
⚠️ caution  pkg:npm/tslib@1.14.1                                                direct    Stalled
⚠️ caution  pkg:npm/micromatch@4.0.5                                            direct    Stalled
✅ ok        pkg:npm/has-flag@4.0.0                                              direct    Legacy-Safe
✅ ok        pkg:npm/strip-ansi@3.0.1                                            direct    Active
⚠️ caution  pkg:npm/is-data-descriptor@0.1.4                                    direct    Stalled
⚠️ caution  pkg:npm/is-ci@2.0.0                                                 direct    Stalled
✅ ok        pkg:npm/debug@3.2.7                                                 direct    Active
✅ ok        pkg:npm/make-dir@3.1.0                                              direct    Active
⚠️ caution  pkg:npm/readable-stream@3.6.0                                       direct    Stalled
✅ ok        pkg:npm/form-data@2.3.3                                             direct    Active
✅ ok        pkg:npm/ini@1.3.8                                                   direct    Active
✅ ok        pkg:npm/yargs@15.4.1                                                direct    Active
⚠️ caution  pkg:npm/isarray@0.0.1                                               direct    Stalled
⚠️ caution  pkg:npm/ms@2.0.0                                                    direct    Stalled
✅ ok        pkg:npm/nopt@5.0.0                                                  direct    Active
✅ ok        pkg:npm/eslint-utils@2.1.0                                          direct    Legacy-Safe
⚠️ caution  pkg:npm/cliui@6.0.0                                                 direct    Stalled
✅ ok        pkg:npm/rimraf@2.7.1                                                direct    Active
✅ ok        pkg:npm/ansi-regex@2.1.1                                            direct    Active
✅ ok        pkg:npm/safe-buffer@5.2.1                                           direct    Legacy-Safe
⚠️ caution  pkg:npm/async@2.6.4                                                 direct    Stalled
✅ ok        pkg:npm/is-accessor-descriptor@0.1.6                                direct    Active
🔍 review    pkg:npm/nw-pre-gyp-module-test@0.0.1                                direct    Review Needed
⚠️ caution  pkg:npm/get-stream@5.2.0                                            direct    Stalled
✅ ok        pkg:npm/kind-of@3.2.2                                               direct    Legacy-Safe
✅ ok        pkg:npm/domhandler@4.3.1                                            direct    Active
✅ ok        pkg:npm/supports-color@8.1.1                                        direct    Active
✅ ok        pkg:npm/ci-info@2.0.0                                               direct    Active
⚠️ caution  pkg:npm/ms@2.1.2                                                    direct    Stalled
✅ ok        pkg:npm/semver@5.7.1                                                direct    Active
✅ ok        pkg:npm/which@1.3.1                                                 direct    Active
✅ ok        pkg:npm/wrap-ansi@6.2.0                                             direct    Active
⚠️ caution  pkg:npm/chownr@1.1.4                                                direct    Stalled
✅ ok        pkg:npm/strip-bom@3.0.0                                             direct    Legacy-Safe
✅ ok        pkg:npm/ansi-regex@4.1.1                                            direct    Active
✅ ok        pkg:npm/supports-color@7.2.0                                        direct    Active
✅ ok        pkg:npm/eslint-visitor-keys@1.3.0                                   direct    Active
✅ ok        pkg:npm/depd@1.1.2                                                  direct    Legacy-Safe
✅ ok        pkg:npm/yargs-parser@18.1.3                                         direct    Active
